score,vote,title,author,genre,star,n_rating,n_review,pages,year
24698,257,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,"['Fiction', 'Humor', 'Historical', 'Historical Fiction', 'Fantasy', 'Religion', 'Humor', 'Comedy', 'Historical', 'Audiobook', 'Adult', 'Novels']",4.22,156910,12011,444,2004
24507,258,The God Delusion,Richard Dawkins,"['Nonfiction', 'Religion', 'Science', 'Philosophy', 'Religion', 'Atheism', 'Audiobook', 'Psychology', 'Religion', 'Theology', 'Spirituality', 'Biology', 'Evolution']",3.89,239685,8444,374,2006
24271,260,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"['Nonfiction', 'History', 'Biography', 'War', 'World War II', 'War', 'Historical', 'Audiobook', 'War', 'Military Fiction', 'Autobiography', 'Memoir', 'Biography Memoir']",4.36,796676,46788,492,2010
24157,260,The Shack,William Paul Young,"['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Spirituality', 'Religion', 'Faith', 'Inspirational', 'Religion', 'Christianity', 'Adult Fiction', 'Adult']",3.78,554799,33389,248,2007
23681,257,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,"['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Travel', 'Education', 'Book Club', 'Biography Memoir', 'Cultural', 'Pakistan', 'Inspirational', 'History']",3.65,332845,22239,349,2007
23615,262,Sarah's Key,Tatiana de Rosnay,"['Historical', 'Historical Fiction', 'Fiction', 'World War II', 'Holocaust', 'Historical', 'War', 'World War II', 'Cultural', 'France', 'War', 'Book Club', 'Adult', 'Adult Fiction']",4.16,429308,29326,294,2007
22247,246,Nineteen Minutes,Jodi Picoult,"['Fiction', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Adult', 'Adult Fiction', 'Drama', 'Young Adult', 'Realistic Fiction', 'Mystery', 'Mystery', 'Crime']",4.13,307396,16106,440,2007
20985,222,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"['Nonfiction', 'Food and Drink', 'Food', 'Science', 'Health', 'History', 'Health', 'Nutrition', 'Environment', 'Food and Drink', 'Cooking', 'Audiobook', 'Politics']",4.16,188886,12995,450,2006
20645,218,What Is the What,Dave Eggers,"['Fiction', 'Cultural', 'Africa', 'Historical', 'Historical Fiction', 'War', 'Contemporary', 'Northern Africa', 'Sudan', 'Novels', 'Literature', 'Book Club', 'Historical']",4.12,80053,7197,475,2006
20528,221,The History of Love,Nicole Krauss,"['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Contemporary', 'Novels', 'Literary Fiction', 'Book Club', 'Adult Fiction', 'Adult', 'Love']",3.92,124816,11114,255,2006
20427,218,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"['Nonfiction', 'Psychology', 'Business', 'Science', 'Self Help', 'Sociology', 'Audiobook', 'Self Help', 'Personal Development', 'Philosophy', 'Leadership']",3.94,505570,15631,296,2007
19990,218,The White Tiger,Aravind Adiga,"['Fiction', 'Cultural', 'India', 'Contemporary', 'Asian Literature', 'Indian Literature', 'Novels', 'Literary Fiction', 'Literature', 'Cultural', 'Asia', 'Book Club', 'Mystery', 'Crime']",3.74,164627,10737,276,2008
19940,221,The Boy in the Striped Pajamas,John Boyne,"['Historical', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'World War II', 'Holocaust', 'War', 'Classics', 'War', 'World War II', 'Academic', 'School', 'Childrens']",4.15,553526,27777,240,2006
18756,206,Looking for Alaska,John Green,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Young Adult', 'Coming Of Age', 'Young Adult', 'Teen', 'Mystery', 'Young Adult', 'Young Adult Contemporary', 'Young Adult', 'High School']",4.01,1159591,57236,221,2006
18387,198,Gilead,Marilynne Robinson,"['Fiction', 'Historical', 'Historical Fiction', 'Religion', 'Novels', 'Literary Fiction', 'Literature', 'Contemporary', 'Audiobook', 'Classics', 'Literature', 'American']",3.85,85754,10927,247,2006
18081,196,Empire Falls,Richard Russo,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Literature', 'Adult Fiction', 'Book Club', 'Adult', 'Literature', 'American', 'Audiobook']",3.91,114835,4550,483,2002
17964,192,Dress Your Family in Corduroy and Denim,David Sedaris,"['Humor', 'Nonfiction', 'Autobiography', 'Memoir', 'Writing', 'Essays', 'Short Stories', 'Humor', 'Comedy', 'Audiobook', 'Biography', 'Biography Memoir', 'Biography', 'Autobiography']",4.09,254310,6621,257,2004
17942,195,The Story of Edgar Sawtelle,David Wroblewski,"['Fiction', 'Animals', 'Dogs', 'Animals', 'Adult Fiction', 'Contemporary', 'Young Adult', 'Coming Of Age', 'Book Club', 'Literary Fiction', 'Adult', 'Novels']",3.62,94882,13746,566,2008
17814,195,11/22/63,Stephen King,"['Fiction', 'Historical', 'Historical Fiction', 'Science Fiction', 'Science Fiction', 'Time Travel', 'Fantasy', 'Horror', 'Thriller', 'Audiobook', 'Historical', 'Mystery']",4.3,436703,38947,849,2011
17813,193,John Adams,David McCullough,"['History', 'Biography', 'Nonfiction', 'North American Hi...', 'American History', 'Politics', 'Presidents', 'Politics', 'Historical', 'Biography Memoir', 'Military History', 'American Revolution', 'Audiobook']",4.04,324820,6469,751,2001
17406,191,The Year of Magical Thinking,Joan Didion,"['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Biography Memoir', 'Biography', 'Autobiography', 'Death', 'Audiobook', 'Writing', 'Essays', 'Literature', 'American', 'Psychology']",3.88,151482,10926,227,2007
17243,189,Ready Player One,Ernest Cline,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Science Fiction', 'Dystopia', 'Audiobook', 'Adventure', 'Science Fiction Fantasy', 'Adult', 'Science Fiction', 'Cyberpunk']",4.25,911055,89489,374,2011
17109,185,A Million Little Pieces,James Frey,"['Fiction', 'Contemporary', 'Psychology', 'Biography Memoir', 'Adult', 'Book Club', 'Novels', 'Health', 'Mental Health', 'Adult Fiction', 'Drama']",3.65,229730,11820,515,2005
16914,184,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,"['Nonfiction', 'Language', 'Writing', 'Humanities', 'Language', 'Reference', 'Humor', 'Humanities', 'Linguistics', 'Education', 'Adult', 'European Literature', 'British Literature', 'Self Help']",3.86,101066,4944,209,2006
16367,174,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"['Nonfiction', 'Religion', 'Philosophy', 'Religion', 'Atheism', 'Science', 'Politics', 'History', 'Audiobook', 'Religion', 'Theology', 'Sociology']",3.95,93618,4784,307,2007
16329,176,Anansi Boys,Neil Gaiman,"['Fantasy', 'Fiction', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Mythology', 'Audiobook', 'Science Fiction Fantasy', 'Humor', 'Adult', 'Magical Realism', 'Contemporary']",4.02,200373,10155,387,2006
16173,187,Insurgent,Veronica Roth,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Action']",4.02,1210512,59202,525,2012
15496,167,Cutting for Stone,Abraham   Verghese,"['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Africa', 'Book Club', 'Health', 'Medicine', 'Eastern Africa', 'Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Contemporary']",4.29,343099,25805,541,2009
15422,168,People of the Book,Geraldine Brooks,"['Historical', 'Historical Fiction', 'Fiction', 'Writing', 'Books About Books', 'Historical', 'Mystery', 'Book Club', 'Literature', 'Jewish', 'Religion', 'Adult Fiction', 'Audiobook']",4.01,127466,11591,372,2008
